KEY_CODE,T000751001,T000751002,T000751003,T000751004
,êlå˚ëçêî,íj,èó,ê¢ë—ëçêî
52393744,30,13,17,8
52393745,137,60,77,42
52393746,1226,569,657,397
52393747,536,249,287,178
52393750,183,84,99,57
52393751,42,22,20,11
52393755,128,65,63,36
52393756,2327,1094,1233,764
52393757,68,28,40,21
52393760,334,160,174,101
52393761,180,84,96,49
52393762,56,32,24,19
52393763,88,46,42,28
52393764,48,24,24,14
52393766,959,466,493,321
52393770,165,75,90,54
52393771,325,157,168,99
52393772,63,32,31,19
52393774,293,148,145,81
52393775,238,114,124,84
52393776,1497,714,783,529
52393777,298,143,155,102
52393780,908,420,488,309
52393781,406,189,217,113
52393782,41,40,1,40
52393783,93,45,48,29
52393784,55,26,29,17
52393785,369,168,201,111
52393786,428,206,222,131
52393787,1071,504,567,299
52393790,891,448,443,353
52393791,478,233,245,154
52393792,352,164,188,123
52393793,444,222,222,143
52393795,63,34,29,18
52393796,164,88,76,45
52393797,343,168,175,103
52394000,271,225,46,54
52394004,51,23,28,24
52394005,1341,644,697,470
52394006,4977,2363,2614,1892
52394007,166,89,77,48
52394010,224,108,116,57
52394011,45,24,21,17
52394012,46,24,22,17
52394014,27,12,15,11
52394015,269,115,154,89
52394016,3158,1521,1637,1117
52394017,614,271,343,185
52394020,265,143,122,61
52394023,49,25,24,17
52394024,37,18,19,11
52394026,188,84,104,61
52394030,231,109,122,59
52394031,159,83,76,42
52394032,1,1,0,1
52394044,33,16,17,15
52394045,236,110,126,73
52394046,810,395,415,293
52394047,182,73,109,120
52394050,9,4,5,3
52394054,61,29,32,24
52394055,3221,1547,1674,1110
52394056,1705,784,921,648
52394057,2182,1023,1159,768
52394061,24,18,6,24
52394062,30,22,8,23
52394065,1178,575,603,390
52394073,2,1,1,1
52394075,2795,1349,1446,1024
52394076,76,28,48,52
52394080,7,4,3,4
52394084,203,93,110,95
52394085,289,143,146,96
52394086,33,20,13,33
52394091,196,89,107,99
52394093,7,1,6,4
52394094,41,20,21,18
52394095,113,57,56,76
52394143,286,161,125,175
52394608,951,450,501,412
52394609,1858,861,997,690
52394618,428,199,229,161
52394619,1442,680,762,451
52394627,140,71,69,51
52394628,2041,984,1057,726
52394629,1200,578,622,393
52394636,84,40,44,34
52394637,2791,1301,1490,946
52394638,1326,637,689,463
52394639,540,261,279,165
52394646,1624,780,844,496
52394647,210,103,107,73
52394648,252,123,129,73
52394649,56,24,32,16
52394656,1134,531,603,350
52394657,498,248,250,154
52394658,122,63,59,36
52394666,739,351,388,228
52394668,166,80,86,50
52394669,39,19,20,11
52394675,134,62,72,37
52394676,554,248,306,167
52394678,152,74,78,43
52394679,101,47,54,27
52394685,110,50,60,30
52394689,51,23,28,14
52394696,108,58,50,36
52394697,216,100,116,78
52394700,788,385,403,255
52394701,700,337,363,243
52394702,263,125,138,83
52394703,605,272,333,199
52394704,353,175,178,100
52394706,92,44,48,28
52394707,643,305,338,194
52394710,259,128,131,92
52394711,978,484,494,287
52394712,116,62,54,35
52394713,181,89,92,47
52394715,244,124,120,69
52394716,160,78,82,44
52394717,311,150,161,94
52394720,685,320,365,210
52394721,408,219,189,41
52394722,161,81,80,45
52394723,318,160,158,88
52394724,30,14,16,7
52394725,235,101,134,71
52394726,556,275,281,163
52394727,79,39,40,26
52394728,800,384,416,253
52394729,122,64,58,39
52394731,346,162,184,72
52394732,98,44,54,24
52394733,127,64,63,44
52394734,98,51,47,29
52394735,459,222,237,122
